date,open,close,low,high,vwap,volume,preds
2021-11-30 15:48:00,260.38,260.38,260.38,260.38,0.0,0.0,0.25900102
2021-11-30 15:49:00,260.38,260.38,260.38,260.38,0.0,0.0,0.26094604
2021-11-30 15:48:00,260.38,260.38,260.38,260.38,0.0,0.0,0.2590010166168213
2021-11-30 15:49:00,259.68,259.46,259.46,259.68,259.56,73.363,0.997150182723999
2021-11-30 15:49:00,259.68,259.46,259.46,259.68,259.56,73.363,0.9971526861190796
2021-11-30 15:50:00,259.46,259.46,259.46,259.46,0.0,0.0,0.1718062460422516
2021-11-30 15:50:00,258.81,258.81,258.81,258.81,258.81,0.06957805,0.12861020863056186
2021-11-30 15:51:00,258.81,258.81,258.81,258.81,0.0,0.0,-0.008296250365674496
2021-11-30 15:51:00,258.78,258.78,258.78,258.78,258.78,13.9,-0.010301082395017149
2021-11-30 15:52:00,258.78,258.78,258.78,258.78,0.0,0.0,-0.06380296498537064
2021-11-30 15:52:00,258.78,258.78,258.78,258.78,0.0,0.0,-0.0638006255030632
2021-11-30 15:53:00,258.78,258.78,258.78,258.78,0.0,0.0,-0.08618529886007309
2021-11-30 15:53:00,258.78,258.78,258.78,258.78,0.0,0.0,-0.08618300408124924
2021-11-30 15:54:00,258.78,258.78,258.78,258.78,0.0,0.0,-0.10101773589849472
2021-11-30 15:54:00,258.28,256.75,256.75,258.28,258.16,50.74010412,5.3245391845703125
2021-11-30 15:55:00,256.49,256.49,256.49,256.49,256.49,0.06957805,-0.3267889618873596
2021-11-30 15:55:00,256.49,255.51,255.51,256.49,255.7,24.85108157,3.1939961910247803
2021-11-30 15:56:00,255.51,255.51,255.51,255.51,0.0,0.0,-0.5063264369964601
2021-11-30 15:56:00,255.51,255.51,255.51,255.51,0.0,0.0,-0.506319522857666
2021-11-30 15:57:00,255.51,255.51,255.51,255.51,0.0,0.0,-0.6008498072624207
2021-11-30 15:57:00,255.51,255.51,255.51,255.51,0.0,0.0,-0.6008428335189819
2021-11-30 15:58:00,255.51,255.51,255.51,255.51,0.0,0.0,-0.6765211224555969
2021-11-30 15:58:00,257.79,257.79,257.79,257.79,257.79,2.09519376,-0.5347003340721129
2021-11-30 15:59:00,258.03,258.03,258.03,258.03,258.03,0.76580215,-0.4328700900077821
2021-11-30 15:59:00,258.03,255.73,255.73,258.03,256.93,74.39780215,7.781049728393555
2021-11-30 16:00:00,255.73,255.73,255.73,255.73,0.0,0.0,-0.43868911266326904
2021-11-30 16:00:00,255.73,255.73,255.73,255.73,0.0,0.0,-0.4386821091175079
2021-11-30 16:01:00,255.73,255.73,255.73,255.73,0.0,0.0,-0.5068087577819824
2021-11-30 16:01:00,255.73,255.73,255.73,255.73,0.0,0.0,-0.5068017244338989
2021-11-30 16:02:00,255.73,255.73,255.73,255.73,0.0,0.0,-0.5771380066871643
2021-11-30 16:02:00,255.88,255.34,255.34,256.0,255.94,1.35287805,1.3755817413330078
2021-11-30 16:03:00,254.52,254.2,254.2,254.52,254.51,29.58885695,0.4749526977539062
2021-11-30 16:03:00,254.52,254.2,254.2,254.52,254.51,29.58885695,0.4749597311019898
2021-11-30 16:04:00,254.2,254.2,254.2,254.2,0.0,0.0,-0.7507358193397522
2021-11-30 16:04:00,256.15,256.17,256.15,256.17,256.16,32.53857805,-0.6931211352348328
2021-11-30 16:05:00,256.17,256.17,256.17,256.17,0.0,0.0,-0.5564773082733154
2021-11-30 16:05:00,256.17,256.17,256.17,256.17,0.0,0.0,-0.5564702153205872
2021-11-30 16:06:00,256.17,256.17,256.17,256.17,0.0,0.0,-0.5104823112487793
2021-11-30 16:06:00,256.17,256.17,256.17,256.17,0.0,0.0,-0.5104751586914062
2021-11-30 16:07:00,256.17,256.17,256.17,256.17,0.0,0.0,-0.4640147984027862
2021-11-30 16:07:00,255.68,255.56,255.56,255.68,255.57,1.5,-0.06412582099437714
2021-11-30 16:08:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.6291830539703369
2021-11-30 16:08:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.6291759014129639
2021-11-30 16:09:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.6095775961875916
2021-11-30 16:09:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.6095703840255737
2021-11-30 16:10:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.5665419697761536
2021-11-30 16:10:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.5665347576141357
2021-11-30 16:11:00,255.56,255.56,255.56,255.56,0.0,0.0,-0.6020591855049133
